obs_avg_sessions_per_week,avg_completion_rate,genre_diversity,tenure_days,obs_recent_30d_sessions,obs_prior_30d_sessions,obs_session_trend_ratio,user_id,segment,actual_churned,churn_probability
5.833333333333334,0.6702787668047554,4,504,25,25,1.0,4667,Steady Regulars,0,0.0
4.783333333333333,0.7051551746038492,5,369,24,17,1.411764705882353,3031,Steady Regulars,0,0.0
4.2,0.2746354152942636,4,398,8,28,0.2857142857142857,1328,Churning Users,0,0.8707656968503146
7.466666666666667,0.6937192694833034,6,267,36,28,1.2857142857142858,3045,Steady Regulars,0,0.0
8.4,0.609614060327107,7,687,41,31,1.3225806451612905,910,Steady Regulars,0,0.0
5.6000000000000005,0.7030210928976919,8,110,25,23,1.0869565217391304,3249,Steady Regulars,0,0.0
0.0,0.0,8,26,0,0,0.0,2219,New / Cold-Start Users,0,0.0
5.833333333333334,0.692040752166972,8,387,21,29,0.7241379310344828,3064,Steady Regulars,0,0.0
21.7,0.8542110463233654,5,506,88,98,0.8979591836734694,918,Power Bingers,0,0.0
0.0,0.0,11,11,0,0,0.0,3513,New / Cold-Start Users,0,0.0
8.866666666666667,0.5790660249335062,4,215,39,37,1.054054054054054,4612,Steady Regulars,0,0.0
20.3,0.8538482320232857,4,555,86,88,0.9772727272727272,2501,Power Bingers,0,0.0
19.366666666666667,0.8632409052941259,5,301,86,80,1.075,811,Power Bingers,0,0.0
5.6000000000000005,0.7010152380804658,5,325,18,30,0.6,1613,Steady Regulars,0,0.0
5.133333333333334,0.705342306078008,5,689,22,22,1.0,1411,Steady Regulars,0,0.0
7.35,0.6039936193629777,4,200,35,28,1.25,1358,Steady Regulars,0,0.0
18.08333333333333,0.8524975804809397,7,270,82,73,1.1232876712328768,1205,Power Bingers,0,0.0
4.2,0.2554992478803822,7,133,7,29,0.2413793103448276,2634,Churning Users,1,0.8141237220971687
6.883333333333334,0.6083463722506403,8,256,30,29,1.0344827586206895,3634,Steady Regulars,0,0.0
19.366666666666667,0.8570225844699656,8,452,80,86,0.9302325581395348,1597,Power Bingers,0,0.0
21.46666666666667,0.850173165420422,7,202,96,88,1.0909090909090908,5,Power Bingers,0,0.0
3.966666666666667,0.3022337847318646,4,348,3,31,0.0967741935483871,4623,Churning Users,0,0.77996511356354
7.466666666666667,0.6125112361474816,5,470,32,32,1.0,760,Steady Regulars,0,0.0
5.833333333333334,0.6741603901314732,8,239,28,22,1.2727272727272727,291,Steady Regulars,0,0.0
3.033333333333333,0.3234102908849101,8,250,7,19,0.3684210526315789,2004,Churning Users,0,0.8583643248929151
7.933333333333334,0.6146005959825667,3,403,33,35,0.9428571428571428,400,Steady Regulars,0,0.0
0.0,0.0,15,26,0,0,0.0,3404,New / Cold-Start Users,0,0.0
22.75,0.8420932416130996,8,372,88,107,0.822429906542056,4553,Power Bingers,0,0.0
21.116666666666667,0.8419357140475685,7,573,88,93,0.946236559139785,4936,Power Bingers,0,0.0
6.183333333333334,0.7318246637558,9,219,22,31,0.7096774193548387,151,Steady Regulars,0,0.0
0.0,0.0,15,3,0,0,0.0,1034,New / Cold-Start Users,0,0.5304683469139608
3.15,0.3237597863177756,5,487,2,25,0.08,4482,Churning Users,1,0.7564533437487587
7.7,0.5842105282111215,6,572,36,30,1.2,1311,Steady Regulars,0,0.0
8.516666666666667,0.5971996434814373,7,413,42,31,1.3548387096774193,2555,Steady Regulars,0,0.0
18.433333333333334,0.8424619052104384,9,267,81,77,1.051948051948052,1386,Power Bingers,0,0.0
4.083333333333333,0.3083543722636432,4,281,7,28,0.25,2400,Churning Users,1,0.7733853648104083
3.616666666666666,0.3209138054518863,7,257,6,25,0.24,2135,Churning Users,0,0.7875762663106604
21.23333333333333,0.8615361142281189,8,436,75,107,0.7009345794392523,798,Power Bingers,0,0.0
3.3833333333333333,0.2905391205617583,7,473,6,23,0.2608695652173913,2188,Churning Users,1,0.8272967272971872
5.366666666666667,0.2903185256402362,7,473,13,33,0.3939393939393939,4110,Churning Users,1,0.7209902853617769
6.65,0.5851512907223968,8,218,25,32,0.78125,1980,Steady Regulars,0,0.0
7.35,0.636816707396703,4,501,28,35,0.8,3474,Steady Regulars,0,0.0
19.016666666666666,0.8475791222042881,8,586,80,83,0.963855421686747,123,Power Bingers,0,0.0
7.233333333333333,0.5971374409749622,8,382,29,33,0.8787878787878788,584,Steady Regulars,0,0.0
23.683333333333334,0.8558564394959796,8,601,97,106,0.9150943396226416,3263,Power Bingers,0,0.0
5.6000000000000005,0.6856362042295024,7,138,24,24,1.0,1514,Steady Regulars,0,0.0
6.3,0.6209396609914042,7,248,28,26,1.0769230769230769,950,Steady Regulars,0,0.0
8.633333333333333,0.6082639044353069,3,436,44,30,1.4666666666666666,1527,Steady Regulars,0,0.0
2.916666666666667,0.3111561557024075,3,500,7,18,0.3888888888888889,1748,Churning Users,0,0.34767503860274657
21.23333333333333,0.8370076700997142,9,359,91,91,1.0,4837,Power Bingers,0,0.0
8.166666666666666,0.6120609526092449,4,260,35,35,1.0,1570,Steady Regulars,0,0.0
20.183333333333334,0.8662359989896711,6,661,98,75,1.3066666666666666,264,Power Bingers,0,0.0
21.23333333333333,0.8475200727921762,5,596,98,84,1.1666666666666667,968,Power Bingers,0,0.0
3.85,0.2704380457150998,8,188,6,27,0.2222222222222222,3797,Churning Users,0,0.8131993178217936
19.95,0.8360603391320219,9,668,85,86,0.9883720930232558,927,Power Bingers,0,0.0
0.0,0.0,15,29,0,0,0.0,1454,New / Cold-Start Users,0,0.0
8.166666666666666,0.5816205766616334,7,438,35,35,1.0,2886,Steady Regulars,0,0.0
17.85,0.8493945918400104,4,526,81,72,1.125,1936,Power Bingers,0,0.0
7.816666666666667,0.6524192746296547,3,120,24,43,0.5581395348837209,2674,Steady Regulars,0,0.0
7.7,0.6008300107134127,5,304,35,31,1.1290322580645162,1710,Steady Regulars,0,0.0
15.633333333333336,0.8381567926227974,4,306,73,61,1.1967213114754098,2115,Power Bingers,0,0.0
7.0,0.5929912018987314,5,237,32,28,1.1428571428571428,1916,Steady Regulars,0,0.0
0.0,0.0,15,2,0,0,0.0,4219,New / Cold-Start Users,1,0.8685680403933729
5.833333333333334,0.5835073247487521,8,155,29,21,1.380952380952381,488,Steady Regulars,0,0.0
6.65,0.6981292499524003,5,90,29,28,1.0357142857142858,1084,Steady Regulars,0,0.0
0.0,0.0,8,17,0,0,0.0,361,New / Cold-Start Users,0,0.0
4.316666666666666,0.3101237345597641,6,491,9,28,0.3214285714285714,4537,Churning Users,1,0.818501888830754
20.3,0.8370886928218289,5,221,75,99,0.7575757575757576,2940,Power Bingers,0,0.0
7.816666666666667,0.6272023839101234,7,457,24,43,0.5581395348837209,4555,Steady Regulars,0,0.0
7.116666666666667,0.5961640275079185,4,693,24,37,0.6486486486486487,4843,Steady Regulars,0,0.0
0.0,0.0,9,19,0,0,0.0,1946,New / Cold-Start Users,0,0.0013
3.5,0.3031444624343844,4,109,6,24,0.25,3932,Churning Users,0,0.7299538610037066
